Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_LD, se_LD, t_LD, est_NDVI, se_NDVI, t_NDVI, est_RF, se_RF, t_RF, est_GP, se_GP, t_GP, est_CC1, se_CC1, t_CC1, est_TDS1, se_TDS1, t_TDS1, est_Sl1, se_Sl1, t_Sl1, est_DD1, se_DD1, t_DD1, est_Lf1, se_Lf1, t_Lf1, est_STC1, se_STC1, t_STC1, est_LULC1, se_LULC1, t_LULC1, est_Geol1, se_Geol1, t_Geol1, y, yhat, residual, std_residual, localR2, influence, CooksD
2170,2239,853664.6972,1676753,-5.738042,2.433603,-2.357838,-2.117287,0.161646,-13.098317,-0.092391,0.041508,-2.225856,0.008397,0.000618,13.595337,-0.002449,0.003652,-0.670751,1.285349,0.03397,37.838175,-1.019859,1.287628,-0.792045,0.01158,0.004262,2.717019,0.002122,0.004047,0.524262,-0.008531,0.00216,-3.949447,0.000224,0.000091,2.465119,-0.012846,0.002334,-5.505119,0.000257,0.000033,7.715888,0.654541,0.66715,-0.012609,-0.392381,0.988658,0.079631,0.00007
2171,2240,835664.6972,1718753,-9.81167,1.358956,-7.220007,0.094552,0.016297,5.801789,0.073053,0.048987,1.491275,0.017864,0.000983,18.17238,0.08963,0.005464,16.404782,1.406113,0.03293,42.699903,-0.550277,0.763823,-0.720424,-0.014156,0.005331,-2.655165,0.02626,0.004509,5.823584,0.002798,0.002366,1.18257,-0.00005,0.000107,-0.464876,-0.008087,0.00599,-1.350011,-0.000139,0.000037,-3.712468,0.823316,0.853265,-0.029949,-0.957833,0.957319,0.128607,0.00071
2172,2241,848664.6972,1708753,-40.193055,1.39507,-28.810781,0.276751,0.026343,10.505514,0.111069,0.042095,2.638562,0.014628,0.00098,14.933551,0.00225,0.003933,0.572229,0.646779,0.031096,20.799163,17.529584,0.736315,23.807176,0.014979,0.004785,3.130101,0.016476,0.004322,3.812096,-0.007727,0.002263,-3.414141,0.000146,0.000078,1.861366,0.001592,0.002946,0.540342,0.000137,0.000029,4.699481,0.099311,0.139893,-0.040582,-1.242268,0.982448,0.048847,0.000415
2173,2242,877664.6972,1711753,-23.507753,2.30121,-10.21539,-0.523102,0.073567,-7.11055,-0.039064,0.042982,-0.908844,0.004148,0.001003,4.136079,-0.070552,0.009789,-7.207438,0.925611,0.025953,35.664675,9.367276,1.179299,7.943086,0.003372,0.003981,0.847039,-0.000329,0.003777,-0.087047,0.001989,0.002504,0.794415,0.000055,0.000111,0.493532,0.000091,0.001476,0.061704,-0.000023,0.00003,-0.759474,1.365883,1.355007,0.010876,0.336183,0.994418,0.067164,0.000043
2174,2243,833702.1548,1719769.371,-10.093886,1.305181,-7.733705,0.075992,0.016122,4.71344,0.096368,0.046382,2.077723,0.021043,0.00088,23.912391,0.087327,0.005048,17.30067,1.397796,0.031582,44.258878,-0.70108,0.739472,-0.948083,-0.013558,0.005219,-2.597954,0.028155,0.00427,6.593846,0.000079,0.002267,0.03505,-0.000052,0.000101,-0.515134,-0.009363,0.006039,-1.550387,-0.000116,0.000037,-3.15501,0.62205,0.670568,-0.048518,-1.517558,0.958878,0.088981,0.001179
2175,2245,862664.6972,1702753,-19.443268,1.034357,-18.797452,-0.055328,0.055277,-1.000908,0.042498,0.041766,1.017537,-0.013761,0.000948,-14.513543,-0.023006,0.009063,-2.53843,0.732158,0.008366,87.519359,9.571881,0.467203,20.487615,-0.000119,0.004119,-0.028807,-0.000846,0.003907,-0.216555,0.001987,0.002349,0.846242,0.000069,0.000084,0.818398,0.005694,0.001582,3.599439,0.000052,0.000026,1.98204,0.144271,0.171466,-0.027195,-0.844718,0.991488,0.076189,0.000308
2176,2246,827664.6972,1672753,-11.019413,1.651611,-6.671919,1.012398,0.210624,4.806662,-0.069457,0.055255,-1.257038,0.000191,0.001199,0.159307,-0.016674,0.007142,-2.33454,1.442809,0.073407,19.654994,1.892083,0.877312,2.156683,-0.001511,0.005586,-0.270436,-0.010582,0.004568,-2.316518,-0.000676,0.002809,-0.240609,0.000024,0.000122,0.199606,0.000727,0.001397,0.520578,0.000083,0.00004,2.058465,-0.17906,-0.175962,-0.003098,-0.096634,0.966605,0.084102,0.000004
2177,2247,842664.6972,1703753,-28.26593,1.09172,-25.891198,0.560804,0.022398,25.037758,0.013746,0.039578,0.347309,0.008628,0.000882,9.786798,-0.002001,0.004514,-0.443228,1.023145,0.02914,35.111827,10.968643,0.605976,18.100777,-0.00135,0.00461,-0.292842,-0.002031,0.004524,-0.449046,-0.000852,0.002361,-0.360901,0.000331,0.00008,4.156572,0.007257,0.003486,2.081716,-0.000075,0.00003,-2.484536,0.295719,0.308275,-0.012556,-0.386655,0.983576,0.060072,0.00005
2178,2248,827664.6972,1686753,-16.077635,1.278799,-12.572444,0.36469,0.092826,3.928764,-0.037964,0.047083,-0.806306,0.004476,0.001177,3.802642,-0.006174,0.005686,-1.08576,1.556941,0.042491,36.642046,3.75409,0.660209,5.686214,-0.000226,0.004905,-0.046142,-0.007103,0.003672,-1.934548,-0.000081,0.002597,-0.031277,-0.000075,0.000087,-0.86432,0.000269,0.00161,0.167131,0.000017,0.000032,0.514904,-0.260085,-0.265241,0.005155,0.15793,0.982375,0.050229,0.000007
2179,2249,885363.9801,1716792.786,-26.027094,2.778294,-9.368013,-0.306998,0.077758,-3.948105,-0.065948,0.052744,-1.250356,0.005812,0.00116,5.011218,-0.035335,0.010629,-3.324329,0.950212,0.035758,26.573523,10.38821,1.451155,7.158582,0.003226,0.004732,0.681679,0.001136,0.004155,0.273518,0.001603,0.002933,0.546659,0.000023,0.000143,0.160656,0.000787,0.001783,0.44112,0.000014,0.00004,0.345089,1.124758,1.096243,0.028515,0.895311,0.992017,0.095912,0.000446
